date,tag,asset,downloads
"2026-07-27","v0.21.0","Tabula-0.21.0.pkg",6
"2026-07-27","v0.21.0","tabula.exe",4
"2026-07-28","v0.21.0","Tabula-0.21.0.pkg",6
"2026-07-28","v0.21.0","tabula.exe",4
"2026-07-29","v0.21.0","Tabula-0.21.0.pkg",6
"2026-07-29","v0.21.0","tabula.exe",4
"2026-07-30","v0.21.0","Tabula-0.21.0.pkg",6
"2026-07-30","v0.21.0","tabula.exe",4
"2026-07-31","v0.24.0","Tabula-0.24.0.pkg",0
"2026-07-31","v0.24.0","Tabula.app.zip",0
"2026-07-31","v0.24.0","tabula.exe",0
"2026-07-31","v0.23.0","Tabula-0.23.0.pkg",3
"2026-07-31","v0.23.0","tabula.exe",2
"2026-07-31","v0.21.0","Tabula-0.21.0.pkg",6
"2026-07-31","v0.21.0","tabula.exe",4
"2026-08-01","v0.27.0","Tabula-0.27.0.pkg",0
"2026-08-01","v0.27.0","tabula.exe",0
"2026-08-01","v0.27.0","Tabula.zip",5
"2026-08-01","v0.26.1","Tabula-0.26.1.pkg",0
"2026-08-01","v0.26.1","tabula.exe",0
"2026-08-01","v0.26.1","Tabula.zip",1
"2026-08-01","v0.26.0","Tabula-0.26.0.pkg",0
"2026-08-01","v0.26.0","tabula.exe",0
"2026-08-01","v0.26.0","Tabula.zip",2
"2026-08-01","v0.24.1","Tabula-0.24.1.pkg",1
"2026-08-01","v0.24.1","tabula.exe",0
"2026-08-01","v0.24.1","Tabula.zip",0
"2026-08-01","v0.24.0","Tabula-0.24.0.pkg",3
"2026-08-01","v0.24.0","Tabula.app.zip",1
"2026-08-01","v0.24.0","tabula.exe",0
"2026-08-01","v0.23.0","Tabula-0.23.0.pkg",3
"2026-08-01","v0.23.0","tabula.exe",2
"2026-08-01","v0.21.0","Tabula-0.21.0.pkg",6
"2026-08-01","v0.21.0","tabula.exe",4
"2026-08-02","v0.27.0","Tabula-0.27.0.pkg",0
"2026-08-02","v0.27.0","tabula.exe",0
"2026-08-02","v0.27.0","Tabula.zip",6
"2026-08-02","v0.28.0","Tabula-0.28.0.pkg",0
"2026-08-02","v0.28.0","tabula.exe",0
"2026-08-02","v0.28.0","Tabula.zip",2
"2026-08-02","v0.26.1","Tabula-0.26.1.pkg",0
"2026-08-02","v0.26.1","tabula.exe",1
"2026-08-02","v0.26.1","Tabula.zip",1
"2026-08-02","v0.26.0","Tabula-0.26.0.pkg",0
"2026-08-02","v0.26.0","tabula.exe",1
"2026-08-02","v0.26.0","Tabula.zip",2
"2026-08-02","v0.24.1","Tabula-0.24.1.pkg",1
"2026-08-02","v0.24.1","tabula.exe",1
"2026-08-02","v0.24.1","Tabula.zip",0
"2026-08-02","v0.24.0","Tabula-0.24.0.pkg",3
"2026-08-02","v0.24.0","Tabula.app.zip",1
"2026-08-02","v0.24.0","tabula.exe",1
"2026-08-02","v0.23.0","Tabula-0.23.0.pkg",3
"2026-08-02","v0.23.0","tabula.exe",3
"2026-08-02","v0.21.0","Tabula-0.21.0.pkg",6
"2026-08-02","v0.21.0","tabula.exe",5
"2026-08-03","v0.28.0","Tabula-0.28.0.pkg",0
"2026-08-03","v0.28.0","tabula.exe",0
"2026-08-03","v0.28.0","Tabula.zip",7
"2026-08-03","v0.27.0","Tabula-0.27.0.pkg",0
"2026-08-03","v0.27.0","tabula.exe",0
"2026-08-03","v0.27.0","Tabula.zip",6
"2026-08-03","v0.26.1","Tabula-0.26.1.pkg",0
"2026-08-03","v0.26.1","tabula.exe",1
"2026-08-03","v0.26.1","Tabula.zip",1
"2026-08-03","v0.26.0","Tabula-0.26.0.pkg",0
"2026-08-03","v0.26.0","tabula.exe",1
"2026-08-03","v0.26.0","Tabula.zip",2
"2026-08-03","v0.24.1","Tabula-0.24.1.pkg",1
"2026-08-03","v0.24.1","tabula.exe",1
"2026-08-03","v0.24.1","Tabula.zip",0
"2026-08-03","v0.24.0","Tabula-0.24.0.pkg",3
"2026-08-03","v0.24.0","Tabula.app.zip",1
"2026-08-03","v0.24.0","tabula.exe",1
"2026-08-03","v0.23.0","Tabula-0.23.0.pkg",3
"2026-08-03","v0.23.0","tabula.exe",4
"2026-08-03","v0.21.0","Tabula-0.21.0.pkg",6
"2026-08-03","v0.21.0","tabula.exe",5
"2026-08-04","v0.28.0","Tabula-0.28.0.pkg",0
"2026-08-04","v0.28.0","tabula.exe",0
"2026-08-04","v0.28.0","Tabula.zip",7
"2026-08-04","v0.27.0","Tabula-0.27.0.pkg",0
"2026-08-04","v0.27.0","tabula.exe",0
"2026-08-04","v0.27.0","Tabula.zip",6
"2026-08-04","v0.26.1","Tabula-0.26.1.pkg",0
"2026-08-04","v0.26.1","tabula.exe",1
"2026-08-04","v0.26.1","Tabula.zip",1
"2026-08-04","v0.26.0","Tabula-0.26.0.pkg",0
"2026-08-04","v0.26.0","tabula.exe",1
"2026-08-04","v0.26.0","Tabula.zip",2
"2026-08-04","v0.24.1","Tabula-0.24.1.pkg",1
"2026-08-04","v0.24.1","tabula.exe",1
"2026-08-04","v0.24.1","Tabula.zip",0
"2026-08-04","v0.24.0","Tabula-0.24.0.pkg",3
"2026-08-04","v0.24.0","Tabula.app.zip",1
"2026-08-04","v0.24.0","tabula.exe",1
"2026-08-04","v0.23.0","Tabula-0.23.0.pkg",3
"2026-08-04","v0.23.0","tabula.exe",4
"2026-08-04","v0.21.0","Tabula-0.21.0.pkg",6
"2026-08-04","v0.21.0","tabula.exe",5
"2026-08-05","v0.28.0","Tabula-0.28.0.pkg",0
"2026-08-05","v0.28.0","tabula.exe",0
"2026-08-05","v0.28.0","Tabula.zip",7
"2026-08-05","v0.27.0","Tabula-0.27.0.pkg",0
"2026-08-05","v0.27.0","tabula.exe",0
"2026-08-05","v0.27.0","Tabula.zip",6
"2026-08-05","v0.26.1","Tabula-0.26.1.pkg",0
"2026-08-05","v0.26.1","tabula.exe",1
"2026-08-05","v0.26.1","Tabula.zip",1
"2026-08-05","v0.26.0","Tabula-0.26.0.pkg",0
"2026-08-05","v0.26.0","tabula.exe",1
"2026-08-05","v0.26.0","Tabula.zip",2
"2026-08-05","v0.24.1","Tabula-0.24.1.pkg",1
"2026-08-05","v0.24.1","tabula.exe",1
"2026-08-05","v0.24.1","Tabula.zip",0
"2026-08-05","v0.24.0","Tabula-0.24.0.pkg",3
"2026-08-05","v0.24.0","Tabula.app.zip",1
"2026-08-05","v0.24.0","tabula.exe",1
"2026-08-05","v0.23.0","Tabula-0.23.0.pkg",3
